dataset,FCN,ResNet,Inception,InceptionTime,LITE,LITETime,ROCKET,MultiROCKET,3M4TSC
InsectEPGRegularTrain,0.9984,0.9976,0.9968,0.996,0.9952,0.996,1,1,1
InsectEPGSmallTrain,0.2972,0.3719,0.9414,0.9438,0.955,0.9639,0.9791,1,0.9375
InsectWingbeatSound,0.3925,0.4993,0.6291,0.6318,0.6104,0.6333,0.6568,0.6727,0.6272
ItalyPowerDemand,0.9627,0.9615,0.966,0.965,0.9685,0.967,0.9696,0.9679,0.963
LargeKitchenAppliances,0.8997,0.9013,0.9008,0.8987,0.8816,0.8907,0.9005,0.8827,0.8844
Lightning2,0.7344,0.7803,0.7902,0.7869,0.7541,0.7541,0.759,0.6721,0.7258
Lightning7,0.8274,0.8274,0.8137,0.8219,0.8274,0.8356,0.8233,0.8493,0.8286
Mallat,0.9703,0.9736,0.956,0.962,0.9476,0.9586,0.9559,0.9271,0.9444
Meat,0.7833,0.99,0.93,0.95,0.9133,0.9333,0.9483,0.9167,0.883
MedicalImages,0.7826,0.7697,0.7916,0.8,0.7526,0.7855,0.7995,0.8079,0.731
MelbournePedestrian,0.9143,0.9092,0.9054,0.9102,0.8986,0.9057,0.9044,0.9627,0.8767
MiddlePhalanxOutlineAgeGroup,0.5351,0.5455,0.5221,0.539,0.5247,0.513,0.5903,0.6364,0.6154
MiddlePhalanxOutlineCorrect,0.7918,0.8261,0.8213,0.8282,0.8268,0.8488,0.8385,0.8591,0.8117
MiddlePhalanxTW,0.5,0.4948,0.5039,0.5325,0.5078,0.5,0.5604,0.539,0.6099
MixedShapesRegularTrain,0.9579,0.9729,0.9644,0.9699,0.9768,0.9806,0.9711,0.9794,0.9452
MixedShapesSmallTrain,0.8943,0.9165,0.9101,0.913,0.9386,0.9439,0.9382,0.9616,0.94
MoteStrain,0.9343,0.924,0.8949,0.8962,0.8757,0.8826,0.9146,0.9417,0.8942
NonInvasiveFetalECGThorax1,0.9538,0.9414,0.9563,0.9593,0.9522,0.9598,0.953,0.9588,0.9481
NonInvasiveFetalECGThorax2,0.9528,0.9436,0.9575,0.9618,0.9538,0.9608,0.9691,0.9684,0.9589
OSULeaf,0.9678,0.9802,0.9298,0.9339,0.9562,0.9545,0.9409,0.9545,0.94
OliveOil,0.5067,0.8467,0.8467,0.8667,0.6933,0.8,0.9167,0.9667,0.875
PLAID,0.9035,0.9404,0.9371,0.9423,0.9065,0.9199,0.9026,0.9348,0.8426
PhalangesOutlinesCorrect,0.8217,0.8452,0.8347,0.859,0.8217,0.8403,0.8343,0.8345,0.8334
Phoneme,0.3254,0.3334,0.329,0.3402,0.3094,0.337,0.2799,0.3476,0.3075
PickupGestureWiimoteZ,0.744,0.704,0.748,0.76,0.756,0.78,0.83,0.84,0.8333
PigAirwayPressure,0.1923,0.4058,0.748,0.5433,0.3471,0.4712,0.0952,0.5962,0.5673
PigArtPressure,0.9875,0.9913,0.9923,0.9952,0.9933,0.9952,0.9538,0.9519,0.9423
PigCVP,0.8038,0.9183,0.9481,0.9615,0.9356,0.9471,0.9341,0.8702,0.9122
Plane,1,1,1,1,1,1,1,1,1
PowerCons,0.8722,0.8789,0.95,0.9556,0.9444,0.9611,0.94,0.9944,0.9833
ProximalPhalanxOutlineAgeGroup,0.8302,0.8468,0.8332,0.839,0.8371,0.8537,0.8556,0.8537,0.851
ProximalPhalanxOutlineCorrect,0.899,0.9196,0.9134,0.9278,0.9052,0.9175,0.899,0.9175,0.918
ProximalPhalanxTW,0.7698,0.7727,0.7698,0.7854,0.7815,0.8049,0.8166,0.8195,0.8029
RefrigerationDevices,0.5104,0.5301,0.5131,0.5147,0.4965,0.496,0.5373,0.528,0.5133
Rock,0.632,0.552,0.78,0.82,0.828,0.86,0.9,0.86,0.8654
ScreenType,0.6203,0.6155,0.5845,0.5893,0.5659,0.5893,0.4853,0.56,0.6062
SemgHandGenderCh2,0.8313,0.8237,0.8153,0.8167,0.8437,0.8683,0.9268,0.9517,0.8783
SemgHandMovementCh2,0.4782,0.4391,0.4067,0.4444,0.4787,0.5111,0.6451,0.7689,0.6472
SemgHandSubjectCh2,0.7418,0.7387,0.7849,0.8111,0.7676,0.8022,0.8811,0.9178,0.8556
ShakeGestureWiimoteZ,0.884,0.88,0.888,0.9,0.928,0.96,0.898,0.94,0.92
ShapeletSim,0.7478,0.7822,0.9522,0.9889,0.7378,0.75,1,1,0.95
ShapesAll,0.8923,0.9263,0.92,0.925,0.8997,0.9133,0.9068,0.9217,0.9125
SmallKitchenAppliances,0.776,0.7813,0.7579,0.776,0.7579,0.7707,0.8184,0.8213,0.774
SmoothSubspace,0.9693,0.98,0.98,0.98,0.984,0.9867,0.9787,0.98,0.993
SonyAIBORobotSurface1,0.9651,0.9607,0.8666,0.8669,0.8416,0.8353,0.9225,0.8869,0.947
SonyAIBORobotSurface2,0.9773,0.9754,0.954,0.9591,0.9396,0.9412,0.9126,0.9402,0.9583
StarLightCurves,0.9663,0.9723,0.9776,0.9798,0.9744,0.9767,0.981,0.9817,0.9685
Strawberry,0.9697,0.98,0.9827,0.9838,0.9784,0.9838,0.9814,0.9811,0.9784
SwedishLeaf,0.967,0.9626,0.9661,0.9696,0.9558,0.9616,0.964,0.9792,0.9169
Symbols,0.9644,0.8931,0.9811,0.9819,0.9807,0.9829,0.9743,0.9829,0.9583
SyntheticControl,0.9873,0.9967,0.9953,0.9967,0.9987,1,0.9997,0.9933,0.9933
ToeSegmentation1,0.9596,0.957,0.9649,0.9737,0.9693,0.9781,0.9684,0.9561,0.95
ToeSegmentation2,0.8877,0.8938,0.9477,0.9538,0.9277,0.9385,0.9238,0.9077,0.9146
Trace,1,1,1,1,1,1,1,1,1
TwoLeadECG,0.9996,1,0.996,0.9956,0.9979,0.9982,0.9991,0.9982,0.9877
TwoPatterns,0.8695,1,1,1,1,1,1,1,1
UMD,0.9861,0.9903,0.9833,0.9861,0.9542,0.9653,0.9924,0.9931,1
UWaveGestureLibraryAll,0.8145,0.8608,0.9462,0.952,0.891,0.9123,0.9754,0.9799,0.9649
UWaveGestureLibraryX,0.7508,0.7812,0.8122,0.8219,0.8093,0.8294,0.8547,0.8696,0.8081
UWaveGestureLibraryY,0.6434,0.6658,0.7544,0.7669,0.7238,0.7616,0.774,0.7973,0.7334
UWaveGestureLibraryZ,0.7265,0.7486,0.755,0.761,0.7562,0.7808,0.7919,0.8155,0.7935
Wafer,0.9972,0.9981,0.9987,0.9987,0.999,0.999,0.9982,0.9995,0.9977
Wine,0.6259,0.7222,0.6667,0.6667,0.6407,0.6667,0.813,0.8889,0.8889
WordSynonyms,0.5643,0.6166,0.7292,0.7602,0.6787,0.7179,0.7534,0.7759,0.7046
Worms,0.7766,0.761,0.7688,0.7922,0.8104,0.8182,0.7403,0.7532,0.7667
WormsTwoClass,0.7325,0.7481,0.7584,0.7792,0.7844,0.7662,0.7974,0.7922,0.7972
Yoga,0.8424,0.8667,0.8998,0.9077,0.9067,0.9177,0.9104,0.919,0.915
