classifier_name,dataset_name,accuracy
LITETime,SwedishLeaf,0.9616
LITETime,Symbols,0.9829
LITETime,SyntheticControl,1
LITETime,ToeSegmentation1,0.9781
LITETime,ToeSegmentation2,0.9385
LITETime,Trace,1
LITETime,TwoLeadECG,0.9982
LITETime,TwoPatterns,1
LITETime,UMD,0.9653
LITETime,UWaveGestureLibraryAll,0.9123
LITETime,UWaveGestureLibraryX,0.8294
LITETime,UWaveGestureLibraryY,0.7616
LITETime,UWaveGestureLibraryZ,0.7808
LITETime,Wafer,0.999
LITETime,Wine,0.6667
LITETime,WordSynonyms,0.7179
LITETime,Worms,0.8182
LITETime,WormsTwoClass,0.7662
LITETime,Yoga,0.9177
ROCKET,ACSF1,0.886
ROCKET,Adiac,0.7834
ROCKET,AllGestureWiimoteX,0.79
ROCKET,AllGestureWiimoteY,0.7727
ROCKET,AllGestureWiimoteZ,0.7661
ROCKET,ArrowHead,0.8143
ROCKET,BME,1
ROCKET,Beef,0.8333
ROCKET,BeetleFly,0.9
ROCKET,BirdChicken,0.9
ROCKET,CBF,1
ROCKET,Car,0.8467
ROCKET,Chinatown,0.9825
ROCKET,ChlorineConcentration,0.8145
ROCKET,CinCECGTorso,0.8362
ROCKET,Coffee,1
ROCKET,Computers,0.7612
ROCKET,CricketX,0.8195
ROCKET,CricketY,0.8523
ROCKET,CricketZ,0.8559
ROCKET,Crop,0.7513
ROCKET,DiatomSizeReduction,0.9699
ROCKET,DistalPhalanxOutlineAgeGroup,0.759
ROCKET,DistalPhalanxOutlineCorrect,0.7696
ROCKET,DistalPhalanxTW,0.7187
ROCKET,DodgerLoopDay,0.5725
ROCKET,DodgerLoopGame,0.8732
ROCKET,DodgerLoopWeekend,0.9746
ROCKET,ECG200,0.906
ROCKET,ECG5000,0.9472
ROCKET,ECGFiveDays,1
ROCKET,EOGHorizontalSignal,0.639
ROCKET,EOGVerticalSignal,0.5414
ROCKET,Earthquakes,0.7482
ROCKET,ElectricDevices,0.7294
ROCKET,EthanolLevel,0.5828
ROCKET,FaceAll,0.9465
ROCKET,FaceFour,0.9773
ROCKET,FacesUCR,0.9614
ROCKET,FiftyWords,0.8303
ROCKET,Fish,0.9794
ROCKET,FordA,0.9444
ROCKET,FordB,0.8051
ROCKET,FreezerRegularTrain,0.9976
ROCKET,FreezerSmallTrain,0.9496
ROCKET,Fungi,1
ROCKET,GestureMidAirD1,0.7169
ROCKET,GestureMidAirD2,0.6608
ROCKET,GestureMidAirD3,0.4146
ROCKET,GesturePebbleZ1,0.9058
ROCKET,GesturePebbleZ2,0.8304
ROCKET,GunPoint,1
ROCKET,GunPointAgeSpan,0.9968
ROCKET,GunPointMaleVersusFemale,0.9984
ROCKET,GunPointOldVersusYoung,0.9911
ROCKET,Ham,0.7257
ROCKET,HandOutlines,0.9424
ROCKET,Haptics,0.524
ROCKET,Herring,0.6922
ROCKET,HouseTwenty,0.9639
ROCKET,InlineSkate,0.4569
ROCKET,InsectEPGRegularTrain,1
ROCKET,InsectEPGSmallTrain,0.9791
ROCKET,InsectWingbeatSound,0.6568
ROCKET,ItalyPowerDemand,0.9696
ROCKET,LargeKitchenAppliances,0.9005
ROCKET,Lightning2,0.759
ROCKET,Lightning7,0.8233
ROCKET,Mallat,0.9559
ROCKET,Meat,0.9483
ROCKET,MedicalImages,0.7995
ROCKET,MelbournePedestrian,0.9044
ROCKET,MiddlePhalanxOutlineAgeGroup,0.5903
ROCKET,MiddlePhalanxOutlineCorrect,0.8385
ROCKET,MiddlePhalanxTW,0.5604
ROCKET,MixedShapesRegularTrain,0.9711
ROCKET,MixedShapesSmallTrain,0.9382
ROCKET,MoteStrain,0.9146
ROCKET,NonInvasiveFetalECGThorax1,0.953
ROCKET,NonInvasiveFetalECGThorax2,0.9691
ROCKET,OSULeaf,0.9409
ROCKET,OliveOil,0.9167
ROCKET,PLAID,0.9026
ROCKET,PhalangesOutlinesCorrect,0.8343
ROCKET,Phoneme,0.2799
ROCKET,PickupGestureWiimoteZ,0.83
ROCKET,PigAirwayPressure,0.0952
ROCKET,PigArtPressure,0.9538
ROCKET,PigCVP,0.9341
ROCKET,Plane,1
ROCKET,PowerCons,0.94
ROCKET,ProximalPhalanxOutlineAgeGroup,0.8556
ROCKET,ProximalPhalanxOutlineCorrect,0.899
ROCKET,ProximalPhalanxTW,0.8166
ROCKET,RefrigerationDevices,0.5373
ROCKET,Rock,0.9
ROCKET,ScreenType,0.4853
ROCKET,SemgHandGenderCh2,0.9268
ROCKET,SemgHandMovementCh2,0.6451
ROCKET,SemgHandSubjectCh2,0.8811
ROCKET,ShakeGestureWiimoteZ,0.898
ROCKET,ShapeletSim,1
ROCKET,ShapesAll,0.9068
ROCKET,SmallKitchenAppliances,0.8184
ROCKET,SmoothSubspace,0.9787
ROCKET,SonyAIBORobotSurface1,0.9225
ROCKET,SonyAIBORobotSurface2,0.9126
ROCKET,StarLightCurves,0.981
ROCKET,Strawberry,0.9814
ROCKET,SwedishLeaf,0.964
ROCKET,Symbols,0.9743
ROCKET,SyntheticControl,0.9997
ROCKET,ToeSegmentation1,0.9684
ROCKET,ToeSegmentation2,0.9238
ROCKET,Trace,1
ROCKET,TwoLeadECG,0.9991
ROCKET,TwoPatterns,1
ROCKET,UMD,0.9924
ROCKET,UWaveGestureLibraryAll,0.9754
ROCKET,UWaveGestureLibraryX,0.8547
ROCKET,UWaveGestureLibraryY,0.774
ROCKET,UWaveGestureLibraryZ,0.7919
ROCKET,Wafer,0.9982
ROCKET,Wine,0.813
ROCKET,WordSynonyms,0.7534
ROCKET,Worms,0.7403
ROCKET,WormsTwoClass,0.7974
ROCKET,Yoga,0.9104
MMM4TSC,ACSF1,0.915
MMM4TSC,Adiac,0.833
MMM4TSC,AllGestureWiimoteX,0.793
MMM4TSC,AllGestureWiimoteY,0.7767
MMM4TSC,AllGestureWiimoteZ,0.7667
MMM4TSC,ArrowHead,0.8182
MMM4TSC,BME,0.9933
MMM4TSC,Beef,0.9
MMM4TSC,BeetleFly,0.9
MMM4TSC,BirdChicken,0.9
MMM4TSC,CBF,1
MMM4TSC,Car,0.9233
MMM4TSC,Chinatown,0.9797
MMM4TSC,ChlorineConcentration,0.8034
MMM4TSC,CinCECGTorso,0.798
MMM4TSC,Coffee,1
MMM4TSC,Computers,0.772
MMM4TSC,CricketX,0.8119
MMM4TSC,CricketY,0.8462
MMM4TSC,CricketZ,0.8454
MMM4TSC,Crop,0.7489
MMM4TSC,DiatomSizeReduction,0.9611
MMM4TSC,DistalPhalanxOutlineAgeGroup,0.7929
MMM4TSC,DistalPhalanxOutlineCorrect,0.7971
MMM4TSC,DistalPhalanxTW,0.7357
MMM4TSC,DodgerLoopDay,0.55
MMM4TSC,DodgerLoopGame,0.8435
MMM4TSC,DodgerLoopWeekend,0.9783
MMM4TSC,ECG200,0.94
MMM4TSC,ECG5000,0.9451
MMM4TSC,ECGFiveDays,0.9942
MMM4TSC,EOGHorizontalSignal,0.6409
MMM4TSC,EOGVerticalSignal,0.4779
MMM4TSC,Earthquakes,0.7715
MMM4TSC,ElectricDevices,0.7165
MMM4TSC,EthanolLevel,0.652
MMM4TSC,FaceAll,0.8
MMM4TSC,FaceFour,0.9245
MMM4TSC,FacesUCR,0.9581
MMM4TSC,FiftyWords,0.7155
MMM4TSC,Fish,0.9755
MMM4TSC,FordA,0.9243
MMM4TSC,FordB,0.8233
MMM4TSC,FreezerRegularTrain,0.9909
MMM4TSC,FreezerSmallTrain,0.9505
MMM4TSC,Fungi,1
MMM4TSC,GestureMidAirD1,0.7548
MMM4TSC,GestureMidAirD2,0.6462
MMM4TSC,GestureMidAirD3,0.5192
MMM4TSC,GesturePebbleZ1,0.9012
MMM4TSC,GesturePebbleZ2,0.8735
MMM4TSC,GunPoint,1
MMM4TSC,GunPointAgeSpan,0.9874
MMM4TSC,GunPointMaleVersusFemale,1
MMM4TSC,GunPointOldVersusYoung,1
MMM4TSC,Ham,0.75
MMM4TSC,HandOutlines,0.9521
MMM4TSC,Haptics,0.5658
MMM4TSC,Herring,0.6933
MMM4TSC,HouseTwenty,0.9687
MMM4TSC,InlineSkate,0.51
MMM4TSC,InsectEPGRegularTrain,1
MMM4TSC,InsectEPGSmallTrain,0.9375
MMM4TSC,InsectWingbeatSound,0.6272
MMM4TSC,ItalyPowerDemand,0.963
MMM4TSC,LargeKitchenAppliances,0.8844
MMM4TSC,Lightning2,0.7258
MMM4TSC,Lightning7,0.8286
MMM4TSC,Mallat,0.9444
MMM4TSC,Meat,0.883
MMM4TSC,MedicalImages,0.731
MMM4TSC,MelbournePedestrian,0.8767
MMM4TSC,MiddlePhalanxOutlineAgeGroup,0.6154
MMM4TSC,MiddlePhalanxOutlineCorrect,0.8117
MMM4TSC,MiddlePhalanxTW,0.6099
MMM4TSC,MixedShapesRegularTrain,0.9452
MMM4TSC,MixedShapesSmallTrain,0.94
MMM4TSC,MoteStrain,0.8942
MMM4TSC,NonInvasiveFetalECGThorax1,0.9481
MMM4TSC,NonInvasiveFetalECGThorax2,0.9589
MMM4TSC,OSULeaf,0.94
MMM4TSC,OliveOil,0.875
MMM4TSC,PLAID,0.8426
MMM4TSC,PhalangesOutlinesCorrect,0.8334
MMM4TSC,Phoneme,0.3075
MMM4TSC,PickupGestureWiimoteZ,0.8333
MMM4TSC,PigAirwayPressure,0.5673
MMM4TSC,PigArtPressure,0.9423
MMM4TSC,PigCVP,0.9122
MMM4TSC,Plane,1
MMM4TSC,PowerCons,0.9833
MMM4TSC,ProximalPhalanxOutlineAgeGroup,0.8558
MMM4TSC,ProximalPhalanxOutlineCorrect,0.918
MMM4TSC,ProximalPhalanxTW,0.8029
MMM4TSC,RefrigerationDevices,0.5133
MMM4TSC,Rock,0.8846
MMM4TSC,ScreenType,0.6062
MMM4TSC,SemgHandGenderCh2,0.8783
MMM4TSC,SemgHandMovementCh2,0.6472
MMM4TSC,SemgHandSubjectCh2,0.8556
MMM4TSC,ShakeGestureWiimoteZ,0.92
MMM4TSC,ShapeletSim,0.95
MMM4TSC,ShapesAll,0.9125
MMM4TSC,SmallKitchenAppliances,0.774
MMM4TSC,SmoothSubspace,0.993
MMM4TSC,SonyAIBORobotSurface1,0.947
MMM4TSC,SonyAIBORobotSurface2,0.9583
MMM4TSC,StarLightCurves,0.9685
MMM4TSC,Strawberry,0.9784
MMM4TSC,SwedishLeaf,0.9169
MMM4TSC,Symbols,0.9583
MMM4TSC,SyntheticControl,0.9933
MMM4TSC,ToeSegmentation1,0.95
MMM4TSC,ToeSegmentation2,0.9146
MMM4TSC,Trace,1
MMM4TSC,TwoLeadECG,0.9877
MMM4TSC,TwoPatterns,1
MMM4TSC,UMD,1
MMM4TSC,UWaveGestureLibraryAll,0.9649
MMM4TSC,UWaveGestureLibraryX,0.8081
MMM4TSC,UWaveGestureLibraryY,0.7334
MMM4TSC,UWaveGestureLibraryZ,0.7935
MMM4TSC,Wafer,0.9977
MMM4TSC,Wine,0.8889
MMM4TSC,WordSynonyms,0.7046
MMM4TSC,Worms,0.7667
MMM4TSC,WormsTwoClass,0.7972
MMM4TSC,Yoga,0.915
