classifier_name,dataset_name,accuracy
ResNet,ECG5000,0.9351
ResNet,ECGFiveDays,0.9663
ResNet,EOGHorizontalSignal,0.5994
ResNet,EOGVerticalSignal,0.4453
ResNet,Earthquakes,0.7122
ResNet,ElectricDevices,0.7279
ResNet,EthanolLevel,0.7584
ResNet,FaceAll,0.8667
ResNet,FaceFour,0.9545
ResNet,FacesUCR,0.9542
ResNet,FiftyWords,0.7402
ResNet,Fish,0.9806
ResNet,FordA,0.937
ResNet,FordB,0.8131
ResNet,FreezerRegularTrain,0.9985
ResNet,FreezerSmallTrain,0.8322
ResNet,Fungi,0.1774
ResNet,GestureMidAirD1,0.6985
ResNet,GestureMidAirD2,0.6677
ResNet,GestureMidAirD3,0.34
ResNet,GesturePebbleZ1,0.9012
ResNet,GesturePebbleZ2,0.7772
ResNet,GunPoint,0.9907
ResNet,GunPointAgeSpan,0.9968
ResNet,GunPointMaleVersusFemale,0.9924
ResNet,GunPointOldVersusYoung,0.9892
ResNet,Ham,0.7581
ResNet,HandOutlines,0.9135
ResNet,Haptics,0.5097
ResNet,Herring,0.6
ResNet,HouseTwenty,0.9832
ResNet,InlineSkate,0.3771
ResNet,InsectEPGRegularTrain,0.9976
ResNet,InsectEPGSmallTrain,0.3719
ResNet,InsectWingbeatSound,0.4993
ResNet,ItalyPowerDemand,0.9615
ResNet,LargeKitchenAppliances,0.9013
ResNet,Lightning2,0.7803
ResNet,Lightning7,0.8274
ResNet,Mallat,0.9736
ResNet,Meat,0.99
ResNet,MedicalImages,0.7697
ResNet,MelbournePedestrian,0.9092
ResNet,MiddlePhalanxOutlineAgeGroup,0.5455
ResNet,MiddlePhalanxOutlineCorrect,0.8261
ResNet,MiddlePhalanxTW,0.4948
ResNet,MixedShapesRegularTrain,0.9729
ResNet,MixedShapesSmallTrain,0.9165
ResNet,MoteStrain,0.924
ResNet,NonInvasiveFetalECGThorax1,0.9414
ResNet,NonInvasiveFetalECGThorax2,0.9436
ResNet,OSULeaf,0.9802
ResNet,OliveOil,0.8467
ResNet,PLAID,0.9404
ResNet,PhalangesOutlinesCorrect,0.8452
ResNet,Phoneme,0.3334
ResNet,PickupGestureWiimoteZ,0.704
ResNet,PigAirwayPressure,0.4058
ResNet,PigArtPressure,0.9913
ResNet,PigCVP,0.9183
ResNet,Plane,1
ResNet,PowerCons,0.8789
ResNet,ProximalPhalanxOutlineAgeGroup,0.8468
ResNet,ProximalPhalanxOutlineCorrect,0.9196
ResNet,ProximalPhalanxTW,0.7727
ResNet,RefrigerationDevices,0.5301
ResNet,Rock,0.552
ResNet,ScreenType,0.6155
ResNet,SemgHandGenderCh2,0.8237
ResNet,SemgHandMovementCh2,0.4391
ResNet,SemgHandSubjectCh2,0.7387
ResNet,ShakeGestureWiimoteZ,0.88
ResNet,ShapeletSim,0.7822
ResNet,ShapesAll,0.9263
ResNet,SmallKitchenAppliances,0.7813
ResNet,SmoothSubspace,0.98
ResNet,SonyAIBORobotSurface1,0.9607
ResNet,SonyAIBORobotSurface2,0.9754
ResNet,StarLightCurves,0.9723
ResNet,Strawberry,0.98
ResNet,SwedishLeaf,0.9626
ResNet,Symbols,0.8931
ResNet,SyntheticControl,0.9967
ResNet,ToeSegmentation1,0.957
ResNet,ToeSegmentation2,0.8938
ResNet,Trace,1
ResNet,TwoLeadECG,1
ResNet,TwoPatterns,1
ResNet,UMD,0.9903
ResNet,UWaveGestureLibraryAll,0.8608
ResNet,UWaveGestureLibraryX,0.7812
ResNet,UWaveGestureLibraryY,0.6658
ResNet,UWaveGestureLibraryZ,0.7486
ResNet,Wafer,0.9981
ResNet,Wine,0.7222
ResNet,WordSynonyms,0.6166
ResNet,Worms,0.761
ResNet,WormsTwoClass,0.7481
ResNet,Yoga,0.8667
Inception,ACSF1,0.898
Inception,Adiac,0.822
Inception,AllGestureWiimoteX,0.7729
Inception,AllGestureWiimoteY,0.8089
Inception,AllGestureWiimoteZ,0.7763
Inception,ArrowHead,0.8457
Inception,BME,0.9947
Inception,Beef,0.7067
Inception,BeetleFly,0.83
Inception,BirdChicken,0.95
Inception,CBF,0.9989
Inception,Car,0.9033
Inception,Chinatown,0.9796
Inception,ChlorineConcentration,0.8691
Inception,CinCECGTorso,0.7257
Inception,Coffee,1
Inception,Computers,0.7856
Inception,CricketX,0.8385
Inception,CricketY,0.8421
Inception,CricketZ,0.8477
Inception,Crop,0.7524
Inception,DiatomSizeReduction,0.9418
Inception,DistalPhalanxOutlineAgeGroup,0.7367
Inception,DistalPhalanxOutlineCorrect,0.7797
Inception,DistalPhalanxTW,0.6604
Inception,DodgerLoopDay,0.545
